posting_id,image,image_phash,title,label_group,category,label,title_len
train_4010695276,e075b67bb7a2e4c52e0f7a1f035a013a.jpg,cbe88496f45b0af8,Celana Dalam Bahan Katun premium Tally L sampai XL,3503559971,Thời trang,7,9
train_1508140374,5a3be935b6cd12d13b2d7c5dd210969e.jpg,be946db46d1a68c8,OBAT DIABETES HERBAL Alami (Gluconormix ASLI Original Membantu Meringankan Gejala Kencing Manis),4242193834,Sức khỏe,5,12
train_2375952912,34a9ff5a502537a17ffafb9474abfceb.jpg,afd0d24b602ff0a6,TONER COLLAGEN PLUS VIT.C & WHITENING 100 ml / COLAGEN,2000035616,Sắc đẹp,4,10
train_1711728185,739f7c1c9ff0b676edb83c0b44db0d67.jpg,eb1dbfa160970ce0,Jilbab Instan Zaqia Masker Series Sporty Ori Shakina Danisha Hijab,1808750350,Sắc đẹp,4,10
train_2567013657,eebdb2cc707037220cf47669189228fa.jpg,b45e9b90383b252f,Shannen Creamy Lip Paint Shannen Lipstik,1381597103,Sắc đẹp,4,6
train_3745592705,79da5c549dc932aeeca58795c28e4dbe.jpg,9fcec231c039e1b9,Jilbab Cadar Bergo Masker Bergo Lengan Panjang Jilbab Masker Jumbo Kania 4in1,502970099,Sắc đẹp,4,12
train_1066583882,484b1e9724db0a1d7e0f59f2d482bf24.jpg,b71c34173c373986,"b""Leivy Body Lotion Goat'S Milk - 270ml""",3255687143,Thực phẩm & Đồ uống,8,7
train_113089789,853332ccd08b5b7cb85acc220d58570d.jpg,b416cbd962943c3b,Kurma Sukari Al Madinah Premium NR 1kg,2717178301,Thực phẩm & Đồ uống,8,7
train_3706403996,2464bd5c3086d9a8a84af14277c138d0.jpg,eacb686b8b349334,SERUM SPRAY FARMA,3548145425,Sắc đẹp,4,3
train_2695151238,9692ea7f88c0c4d6508f3e84773bfc13.jpg,cb0cb6358d72b552,"b""MuTouch Goat's Milk Shower Cream Pearl and Mulberry 1000ml (Sabun Mandi) FREE Shower Puff""",3933439401,Thực phẩm & Đồ uống,8,14
train_535526365,9efddad2c2ceb636e28c804959a92f8a.jpg,eec4b41e96368e64,Pulpen Kipas - pen kipas,3430179282,Gia dụng,0,5
