posting_id,image,image_phash,title,label_group,category
train_816089570,f9f15204772a6f66a10fd004d0ac0051.jpg,958daa23c31ec5ec,Mukena Anak Karakter LOL Paris Pink Cantik Usia 2-12 Tahun PAUD TK SD Bahan Katun Adem Motif Sajadah,1569494229,Nhà cửa & Đời sống
train_3205943724,0713b8ea0f09d938895250bf4867eb6a.jpg,e58e1e71da6c8895,\xe2\x9c\x94COD\xe2\x9c\x94 Mouse Wireless Bluetooth Banda AP-01 With Battery Mouse Bluetooth,1843178462,Điện tử
train_3544629667,9a12aa13d329a5f03abf42ef851e4233.jpg,eac69d3d9033c269,TAS RANSEL / TAS SEKOLAH / TAS BERANAK / TAS ANAK / TAS RANSEL WANITA RABBIT SET MULTIFUNGSI STYLISH,1030199315,Phụ kiện thời trang
train_2067597102,b0fc18946dd11e6e2d84d60300dd6178.jpg,f339f1b08e9d8131,Sandal Wudhu Masjid Musholla ( 9 PASANG ) | Sendal Sodakoh Sedekah Kantor Mushola Musala Mesjid,98063691,Phụ kiện thời trang
train_900519743,dc8485a36ab73721be216aae97edbe0c.jpg,fb8990b9843e8747,"Habbatussauda ""KURMA AJWA"" 120 Kapsul",1082203745,Thực phẩm & Đồ uống
train_2446614659,235cdd72d82da00e9b260ff275a3e877.jpg,eca193169e6b21f4,Speaker Universal SPK-S080 Subwoofer Speaker 2.1 Channel Design Speaker Audio for PC / Laptop New,1333574565,Điện tử
train_3727010165,5205dd18c0c32540e58848ef8418f77f.jpg,e2719d8c6263b5a5,ACNOC ACNESER Spot Gel 15g,3375312423,Sắc đẹp
train_1261404451,0ee29d56042b2ff25d171b0f090463a8.jpg,b62c2bc37b5e1486,Scarlett Whitening Brightly Ever After Serum,1163569239,Sắc đẹp
train_2300905677,764cb47c65893b999fa7c08c17689bc7.jpg,f626cf9cdc0c9039,Bantal Hamil bahan lembut dan nyaman (Free Tas),3475174996,Phụ kiện thời trang
train_1113629960,1a7bf2d886075d7491faf138e861c4d1.jpg,cc909b6f5e3830e3,Cairan Wiper Pembersih Kaca Mobil / Tablet Cairan Wiper Pembersih Kaca Mobil,1689755103,Sức khỏe
train_2275982538,1c163f465acc7e3e74a6af0b0be1b45d.jpg,ae23cef03d4f8234,Mika Lampu Stop Nmax NEMO/ Kaca Mika StopLamp Rem Belakang Smoke Yamaha NMAX,832305221,Nhà cửa & Đời sống
train_722294539,4ed9474e49a722d90e05361b4cba7a03.jpg,eca0915dbaea64e1,Tempat Bedak Double Susun Reliable FREE Cotton Ball & Cotton Bud,1813765221,Thực phẩm & Đồ uống
train_4084569444,3ac9e74c32a4932df2cca5c33742e17e.jpg,c0bcad63b70849d7,VIVA Milk Cleanser Face Tonic Susu Pembersih Toner Penyegar Air Mawar 100ml,562358068,Thực phẩm & Đồ uống
train_303149329,2d0e0fa66dfaf4e7ccaaa30ead15dd77.jpg,80706f0f78c26beb,ORIGINAL Cussons Baby Hair Lotion 100ml+100ml & 50ml+50ml / Cusson Hair Lotion Bayi / LEDI MART,1344355875,Sắc đẹp
train_1403175086,e543ee6605e3c1472edd39633f40e752.jpg,bf91c06e3e93c14c,ortuseight sepatu lari harvard black white,2980580336,Phụ kiện thời trang
train_81718756,2cb0c75f0d11ad13017f824fc703b325.jpg,bba43e243e35843b,Tutup Pentil LED / Pentil Ban LED ban motor mobil sepeda FREE BATERAI,1575763518,Nhà cửa & Đời sống
train_1790673756,4c4b4fed19737fbb96cba628e1745f07.jpg,a5a547d662cb3c8a,Selimut Kintakun Micro Flannel SS Star - Ukuran 160x200cm,3234804620,Điện tử
train_333799052,a955b90565409a948502ddd77620c438.jpg,fbe0c8f980d8a5a3,\xe2\x98\x85 Cayman \xe2\x98\x85 GT Jam Tangan Pria Sport Chrono Korea Fashion Quartz Men Silikon Analog Watch SW035,1146489799,Phụ kiện thời trang
train_2919450156,ad6c40376dbf10cbd35cf3638f3a5650.jpg,c2212dde3e2d92e9,Pompa ASI Breast Pump Feeding Bottle Pam Susu Electric USB Milk Pumps Kit Susu +Milk Bottles,3336202419,Thực phẩm & Đồ uống
train_3145079693,ac478e39ee44983468e50673e3f33d1e.jpg,f26f0c0287e8e1af,Nacific Phyto Niacin Whitening Toner 150ml,3599684856,Sắc đẹp
train_3635090822,e27d489613b618298961dbc29073abc1.jpg,e960de9617e38c4c,Charger Vooc ORIGINAL 100% FAST CHARGING Charger Vooc oppo segel merah,4277040433,Điện tử
train_1922106403,c1cbaef08caa469c405c8b7617c68022.jpg,bb9038b33999363a,[FREEONGKIR] FLASHDISK SANDISK USB 3.1 OTG TYPE C 16GB UP TO 130 MBs,1258162988,Điện tử
train_1314620120,f24ef3410870519f52e0563681565044.jpg,bb0f9198c2e18f63,Celana Jeans Anak Soft Jeans Rib Dark Blue 2-8 Tahun,1999386573,Mẹ & Bé
train_1564616217,4209b52befc54ed7897dbe0a0cc07ba9.jpg,f35ccc48984dcbc9,YANG LAGI HITS Celana Chino Pria Army Loreng Ufc Venum Mma Pantai CELANA 506EE Celana / TERLARIS,2981164480,Thời trang
train_1684178078,10c1be30244297206018a660a4f65b81.jpg,9be6e0e0e413ea1b,((COD)) CATHERINE Cutbray Palazo Import  With Zipper / Fashion Korea/Celana Wanita,3695290182,Thời trang
train_3922632308,542e0186fca47fa47a474e8fb5025724.jpg,aad4c53ad26f6a90,Colatta Dark Compound Chocolate 250 gr,1826855584,Thực phẩm & Đồ uống
train_928051538,1cae427fc47147a4774f07cbfbf6a514.jpg,b3138c8c3c31cd77,SomeByMi Galactomyces Pure Vitamin C Glow Toner - Some By Mi,4174239330,Sắc đẹp
train_3298561049,2c2d0dc0a6c68d2cfdd49a414fdb6482.jpg,ade0d22f2d9af007,Garlic press bawang putih walnut presure,2717135091,Nhà cửa & Đời sống
train_2209892224,aaa45b9aa9534ac8bbd224d5b0529ea0.jpg,f9d8c6c3d4c6990c,Serum Tabita Dot Putih,1561051272,Sắc đẹp
train_4230621514,56897de38b5dced7e82e7e38f8e9af6c.jpg,ebcb912619730f92,Kabel Charger Data Sync Quick Charge Tipe C 5A 90 Derajat Panjang 1M,3565634603,Điện tử
